Creditscore,Creditscoreindicator,Likelihoodoffailure,CreditlimitGBPGBP,Previouscreditscore,SMEindicator,ReturnonTotalAssets2020,ReturnonTotalAssets2019,ReturnonShareholdersFunds2020,ReturnonShareholdersFunds2019,ReturnonCapitalEmployed2020,ReturnonCapitalEmployed2019,TurnoverthGBP2020,TurnoverthGBP2019,NetAssetsTurnoverx2020,NetAssetsTurnoverx2019,TradeCreditorsthGBP2020,TradeCreditorsthGBP2019,StockTurnoverx2020,StockTurnoverx2019,StockWIPthGBP2020,StockWIPthGBP2019,NetCurrentAssets2020,NetCurrentAssets2019,FixedAssetsthGBP2020,FixedAssetsthGBP2019,IntangibleAssetsthGBP2020,IntangibleAssetsthGBP2019,TotalAssetsthGBP2020,TotalAssetsthGBP2019,OrdinarySharesthGBP2020,OrdinarySharesthGBP2019,RetainedProfitLossGBP2020,RetainedProfitLossthGBP2019,CurrentAssetsthGBP2020,CurrentAssetsthGBP2019,CurrentLiabilitiesthGBP2020,CurrentLiabilitiesthGBP2019,LiquidityRatiox2020,LiquidityRatiox2019,LongTermDebtthGBP2020,LongTermDebtthGBP2019,ShortTermLoansOverdrafts2020,ShortTermLoansOverdrafts2019,CapitalExpenditure2020,CapitalExpenditure2019,InterestPaidthGBP2020,InterestPaidthGBP2019,InterestCoverx2020,InterestCoverx2019,Numberofemployees2020,Numberofemployees2019,IssuedCapitalthGBP2020,IssuedCapitalthGBP2019,AdministrationExpensesthGBP2020,AdministrationExpensesthGBP2019,EBITDAthGBP2020,EBITDAthGBP2019,BankDepositsthGBP2020,BankDepositsthGBP2019,Gearing2020,Gearing2019,ShareholdersFundsthGBP2020,ShareholdersFundsthGBP2019,TaxationthGBP2020,TaxationthGBP2019,Grossmargin2020,Grossmargin2019,Currentratiox2020,Currentratiox2019,SolvencyratioLiabilitybased2020,SolvencyratioLiabilitybased2019
92,Secure,.9,50000000,95,No,,5.614489004,,10.28436019,,8.326937836000001,,6667000,,2.558326938,,-476000,,11.494827586,,580000,,283000,,2323000,,1003000,,3865000,,710000,,97000,,1542000,,-1259000,,.764098491,,-261000,,-341000,,,,-7000,,32,,10,,710000,,-2328000,,404000,,64000,,39.668246445,,2110000,,-50000,,37.888105595,,1.224781573,,
92,Secure,.9,50000000,99,No,-.130484147,2.832745789,-.283734984,7.000425911,-.175859313,4.070147003,6157500,6955700,1.406303529,1.56585849,-892700,-1143400,7.324253598,7.417039881,840700,937800,722900,583000,3655600,3859100,1670500,1691700,5901100,6382500,,,-22400,4900,2245500,2523400,-1522600,-1940400,.922632339,.817151103,-1744000,-1836900,-158800,-158700,,,-96200,-92200,.9199584200000001,2.960954447,29288,30059,25200,25200,-1645300,-1620100,192500,547600,505600,207900,67.19360306599999,78.139156696,2713800,2582700,-14200,-58000,29.740966301,29.250830254,1.474779982,1.300453515,85.14416590800001,67.96936680899999
95,Secure,.9,16574000,99,No,,3.81780216,,18.074145305,,15.152711065,,5915844,,12.48500325,,-124809,,5.556196929,,1064729,,-151463,,625299,,150160,,1880637,,2724,,3460,,1255338,,-1406801,,.135491089,,-27263,,-1065154,,-56821,,-15780,,5.55,,10489,,2724,,-696059,,153408,,724,,287.413876002,,397247,,-19589,,13.304340006,,.892335163,,26.779673586
89,Secure,.9,5380000,92,No,,-5.702718912,,-67.554766134,,-15.251971662,,4506100,,6.023392595,,-843100,,5.37079857,,839000,,-98600,,846700,,172300,,2000800,,,,-127100,,1154100,,-1252700,,.251536681,,-413200,,-23900,,,,-46000,,-1.480434783,,9564,,69900,,-577100,,144000,,55700,,357.075192422,,168900,,-3300,,10.490224363,,.921290014,,9.219935586
99,Secure,.9,50000000,99,No,21.144665104,26.910620556,169.535673839,130.534488985,28.898498127,45.933409582,4266200,4167400,1.647117872,2.647985767,-212800,-218800,8.086050038,8.288385044,527600,502800,1005600,919700,1584500,654100,44200,42600,3539900,2686300,,,396600,374700,1955400,2032200,-949800,-1112500,1.503263845,1.374741573,-2242400,-905200,-246000,-377300,,,-105600,-39500,8.088068182000001,19.301265823,28545,28151,13300,13900,-786600,-713700,1119100,884200,86600,156300,542.378255946,252.31130372,441500,553800,-138300,-132500,38.453424593,35.374574075,2.05874921,1.826696629,14.249289956,25.969519343
99,Secure,.9,50000000,99,No,10.440480723,10.921355537,16.585226687,18.684015772,16.699306458,18.684015772,4140280,4043136,1.276089488,1.421469693,-200888,-187819,7.854932621,8.092049724000001,527093,499643,462966,17103,2781540,2827232,2496368,2496368,5189512,4866026,1,1,436480,-175735,2407972,2038794,-1945006,-2021691,.967029922,.761318619,-293,,-1362453,-1457184,,,-122508,-117647,5.422649949,5.517208259,31617,32280,1,1,-813555,-731401,754408,753174,68213,111251,41.714717938,51.231096196,3266823,2844335,-105330,-107171,35.694952998,34.333274963,1.238028057,1.00845975,,
95,Secure,.9,34134000,99,No,9.326555265,8.110724856999999,21.311098332,18.803912137,17.017173294,14.462585705,4056500,3581300,3.725319129,3.533073546,-607300,-583000,15.488736159,15.405649555,261900,253600,708200,679900,380700,425900,61100,61100,1986800,1971800,457200,457200,11900,22900,1606100,1545900,-897900,-866000,1.497048669,1.492263279,,-235900,-143700,-200200,,,-6500,-10900,29.507692308,14.449541284,9395,9579,457200,457200,-72300,-67300,255000,218700,130200,220800,41.759631972,53.556731335,869500,850500,-33400,-24700,6.335510908,6.159774384,1.788729257,1.785103926,77.821534055,75.849460448
95,Secure,.9,50000000,95,No,3.709735794,5.691056911,11.323285726,14.375100273,4.751655629,7.026624319,3957400,3701900,1.310397351,1.451554719,-302600,-235400,3.302511892,3.783626329,1198300,978400,1376400,1432600,1643600,1117700,143400,153000,3868200,3148800,,,93800,112000,2224600,2031100,-848200,-598500,1.209974063,1.758897243,-1376200,-826500,-152300,-6000,,,-79100,-27700,2.814159292,7.469314079,30179,27531,64100,64100,-1564300,-1413800,586500,325400,534000,448000,150.319577054,105.061768009,1267300,1246600,-42500,-63200,42.012432405,42.775331586,2.622730488,3.393650794,48.725441193,65.53464409599999
92,Secure,.9,50000000,92,No,,5.276620323,,13.230578256,,6.777954425,,3770800,,.999152093,,-575100,,7.053497942,,534600,,391100,,3382900,,1873100,,4847800,,,,147100,,1464900,,-1073800,,.866362451,,-1425800,,-13600,,-237300,,-56300,,5.543516874,,24075,,20400,,-3325300,,551400,,192600,,95.90358953099999,,1933400,,-67100,,,,1.364220525,,66.339555312
95,Secure,.9,50000000,95,No,7.168260261,12.769302025,10.163466904,18.712079143,9.115848007,16.731954023,3419200,4763100,.633772011,.875972414,-679700,-928700,.680045347,.987314222,5027900,4824300,4267900,4320000,1127100,1117500,907000,908200,6860800,7124900,,,26500,287700,5733700,6007400,-1465800,-1687400,.481511802,.701137845,-236100,-200000,-129400,,,,-35000,-35900,15.051428571,26.342618384,6632,6419,101800,101700,-448400,-183100,520700,905400,619800,958300,14.166442787,11.834392546,4838900,4862100,-89100,-170400,17.966190922,22.762486616,3.91165234,3.560151713,,
